casjobsID,objid,ra,dec,e_bv,mag_nuv,magerr_nuv,mag_fuv,magerr_fuv
-1016829371,2565224399440447851,278.174548019196,0.462043954254205,1.92475855350494,21.9913158416748,0.224218860268593,24.2819309234619,2.14434480667114
-1016829370,2565224399440447842,277.855504190583,0.457778547995096,2.20871686935425,22.6674518585205,0.35847869515419,99,99
-1016829369,2565224399440447838,278.16832716295,0.456598920853387,1.92475855350494,22.6463527679443,0.312351644039154,22.8193855285645,0.504522264003754
-1016829368,2565224399440447821,277.749666637232,0.455502389468461,2.29692649841309,20.5058631896973,0.200139924883842,27.4616680145264,148.615707397461
-1016829367,2565224399440447818,277.740898507615,0.458252558232547,2.31200671195984,20.4893913269043,0.22276745736599,21.707893371582,0.857883870601654
-1016829366,2565224399440447816,277.709866602049,0.449736460341709,2.35473275184631,22.7464904785156,0.360736042261124,23.6053504943848,0.994528591632843
-1016829365,2565224399440447813,278.015830896657,0.456684354531596,2.03761792182922,20.7014999389648,0.0993309020996094,22.9753112792969,0.864480257034302
-1016829364,2565224399440447812,277.694842225641,0.451062631813543,2.37619113922119,22.3258190155029,0.32929003238678,99,99
-1016829363,2565224399440447808,277.747313955522,0.452112953464361,2.29692649841309,19.8529720306396,0.165862843394279,20.9269371032715,0.557401537895203
-1016829362,2565224399440447795,277.91234669724,0.4811648248048,2.16401934623718,16.9354820251465,0.0119671626016498,23.6771678924561,2.02057123184204
-1016829361,2565224399440447792,277.951293147513,0.440495485601041,2.1343469619751,22.731086730957,0.356098681688309,99,99
-1016829360,2565224399440447789,277.717760984186,0.447731098096298,2.35161972045898,20.633731842041,0.231626629829407,22.0266513824463,1.04060852527618
-1016829359,2565224399440447783,277.713749872499,0.438030068291798,2.35161972045898,21.8573703765869,0.339717030525208,99,99
-1016829358,2565224399442544932,277.463746707637,0.463490140705376,2.3847987651825,19.1813049316406,0.0418900325894356,20.3538494110107,0.139108896255493
-1016829356,2565224399440447777,277.713435451976,0.440810153717235,2.35161972045898,21.3040199279785,0.248282164335251,99,99
-1016829355,2565224399440447772,278.131462330043,0.438711003237952,1.92370843887329,22.3738307952881,0.355100572109222,22.5951309204102,0.580205261707306
-1016829354,2565224399440447770,277.715617760333,0.443138455669507,2.35161972045898,20.5612163543701,0.199593678116798,22.2716617584229,1.19101667404175
-1016829353,2565224399440447727,277.794825030437,0.427735430945878,2.23139953613281,21.3956718444824,0.269528329372406,99,99
-1016829352,2565224399440447724,277.52716910817,0.432384501541741,2.35079717636108,22.7376575469971,0.340753078460693,99,99
-1016829351,2565224399440447717,277.843402217738,0.423507633413652,2.19771862030029,21.2697486877441,0.163665354251862,22.6823463439941,0.679225981235504
-1016829350,2565224399440447711,278.080905307202,0.416807935165348,1.96208167076111,22.8294315338135,0.359551310539246,24.5663776397705,2.1020073890686
-1016829349,2565224399440447707,277.797248955226,0.418542739789654,2.23139953613281,21.6047592163086,0.308875352144241,24.1727333068848,3.98407244682312
-1016829348,2565224399440447701,277.798121478851,0.422889958634396,2.23139953613281,21.2471923828125,0.314197927713394,25.4331359863281,18.0495452880859
-1016829347,2565224399440447697,277.784080054001,0.418149504884452,2.23139953613281,22.1402549743652,0.342724502086639,99,99
-1016829346,2565224399440447692,277.783011156005,0.422884213138648,2.23139953613281,21.4258155822754,0.215668916702271,23.5359306335449,1.74157309532166
-1016829345,2565224399440447673,277.612410376283,0.412818546144689,2.4298152923584,22.5669021606445,0.328965961933136,25.5207004547119,5.94743013381958
-1016829343,2565224399440447669,277.374838814217,0.406214590606782,2.3295681476593,22.9188785552979,0.358907282352448,99,99
-1016829342,2565224399440447667,277.791268766803,0.414710461793045,2.23139953613281,20.7259368896484,0.296512722969055,22.175256729126,1.39628887176514
-1016829341,2565224399440447666,277.784225574543,0.427397545599454,2.29692649841309,21.1454792022705,0.24654883146286,25.0047092437744,10.2541570663452
-1016829340,2565224399440447665,278.083514305015,0.404783143846578,1.93889117240906,22.9471454620361,0.349031686782837,99,99
-1016829339,2565224399440447659,277.662507656681,0.407945617875417,2.42240524291992,21.0852203369141,0.304115861654282,22.9143333435059,1.99851679801941
-1016829338,2565224399440447625,277.985448459558,0.397133641331108,2.08610773086548,21.1979904174805,0.140817046165466,27.9357681274414,73.8347091674805
-1016829337,2565224399440447621,277.51466597722,0.395783132373156,2.41611742973328,21.6423034667969,0.196529909968376,23.6460418701172,1.44864988327026
-1016829336,2565224399440447619,278.105850048347,0.39838039716265,1.93889117240906,19.9120483398438,0.0573445446789265,23.7100124359131,1.60300493240356
-1016829335,2565224399440447599,277.65671426622,0.419786870971356,2.42240524291992,16.8367385864258,0.0120635265484452,22.9151096343994,1.21256446838379
-1016829333,2565224399440447543,277.812665937313,0.370282037766291,2.21293973922729,21.7468090057373,0.290600419044495,21.4714660644531,0.30208021402359
-1016829331,2565224399440447538,277.821524227151,0.370289814289839,2.21293973922729,21.3262214660645,0.276209980249405,20.6477565765381,0.202645808458328
-1016829330,2565224399440447531,278.10695072046,0.372672800125106,1.96299040317535,19.7961654663086,0.0530482232570648,25.1228294372559,5.7479043006897
-1016829329,2565224399440447526,277.323459015533,0.365749096057235,2.30378651618958,22.9782867431641,0.355360895395279,99,99
-1016829328,2565224399440447521,277.829071454062,0.372866546100802,2.17478895187378,21.3492069244385,0.29122719168663,21.3788948059082,0.386456400156021
-1016829327,2565224399440447491,277.718390166834,0.376146148011996,2.40463066101074,19.950532913208,0.165308102965355,21.8821201324463,1.19639444351196
-1016829326,2565224399440447485,277.777430740397,0.353549741616319,2.26369786262512,22.7343406677246,0.354735046625137,24.1707344055176,1.60224449634552
-1016829325,2565224399440447477,277.453038971888,0.351464662503382,2.44644379615784,23.0001449584961,0.355473697185516,99,99
-1016829324,2565224399440447450,277.706966057679,0.374616742792594,2.40463066101074,20.168529510498,0.182768225669861,99,99
-1016829323,2565224399442544598,277.923525345961,0.367257912817935,2.1548798084259,17.9093170166016,0.0195918045938015,18.1295948028564,0.0380147956311703
-1016829320,2565224399440447423,277.697558623029,0.338363946139283,2.40642285346985,22.9454021453857,0.353983104228973,99,99
-1016829315,2565224399440447399,277.793272642712,0.335278210533635,2.21639585494995,22.6257820129395,0.357870608568192,99,99
-1016829314,2565224399440447394,277.980092594992,0.33562777712638,2.15027356147766,22.4348011016846,0.300770878791809,24.8069877624512,3.06584978103638
-1016829313,2565224399440447389,277.412703215451,0.330700119387599,2.40295910835266,21.5065689086914,0.278203248977661,99,99
-1016829312,2565224399440447388,277.399262838315,0.330334959842316,2.38727331161499,22.5076599121094,0.361854583024979,23.5122470855713,1.13674914836884
-1016829311,2565224399440447387,277.912956574148,0.329944016068525,2.14241313934326,23.0084838867188,0.343495309352875,27.0302715301514,15.85826587677
-1016829309,2565224399442544521,277.880601705028,0.339772364665448,2.15184688568115,20.8704586029053,0.14318373799324,21.6506595611572,0.367920458316803
-1016829307,2565224399440447337,277.714556141073,0.366111568733886,2.40463066101074,19.8080825805664,0.133682608604431,24.7977638244629,15.7773494720459
-1016829306,2565224399442544484,277.730434933478,0.429430810728454,2.35161972045898,12.8974418640137,0.00188155856449157,17.9731674194336,0.0441805124282837
-1016829305,2565224399440447327,277.524973309041,0.315687201666632,2.46865439414978,22.5586318969727,0.352313101291656,99,99
-1016829304,2565224399440447326,277.392813090778,0.314145870771422,2.47044920921326,21.6290168762207,0.324028640985489,24.3979988098145,5.13659715652466
-1016829303,2565224399440447323,277.712016995096,0.313409804452345,2.36424326896667,22.4178733825684,0.306776463985443,99,99
-1016829302,2565224399440447318,277.583129971011,0.314346593923564,2.42775106430054,22.4985237121582,0.3211629986763,26.4901237487793,14.6777362823486
-1016829300,2565224399440447284,277.649568076324,0.30494986190151,2.40987586975098,22.4025897979736,0.333823621273041,23.917989730835,1.59749364852905
-1016829299,2565224399440447271,277.643534751698,0.299498809429249,2.39386439323425,22.5776615142822,0.331416994333267,99,99
-1016829298,2565224399440447232,278.021505299121,0.292221630386319,2.14400458335876,22.9371643066406,0.354629874229431,99,99
-1016829297,2565224399440447226,277.420291719848,0.294160155908952,2.47044920921326,21.0678043365479,0.254279255867004,99,99
-1016829296,2565224399440447213,277.967219234866,0.303436211030142,2.16466689109802,22.4343204498291,0.338475614786148,23.5078601837158,1.1014256477356
-1016829295,2565224399440447209,277.414506527096,0.296690341000444,2.47044920921326,20.6344757080078,0.264429032802582,22.8636054992676,2.53796458244324
-1016829294,2565224399442544360,277.826356713387,0.354448414183198,2.21293973922729,13.889874458313,0.00296157295815647,14.3533000946045,0.00660127308219671
-1016829293,2565224399440447195,277.488099198322,0.284986753158736,2.54070019721985,22.3494815826416,0.336343467235565,23.7277507781982,1.4614794254303
-1016829291,2565224399440447189,277.318649337365,0.323230461790702,2.38828611373901,16.5217247009277,0.0101336566731334,22.54225730896,0.810481667518616
-1016829290,2565224399440447183,277.538134687436,0.280205233311226,2.51213979721069,22.6618747711182,0.357583969831467,23.6666870117188,1.14081299304962
