ra,dec,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,e_bv,d,mag_fuv
270.1837788,0.029581694,21.05030823,99,,,,,13.336,12.864,11.421,0.3,0.431038886,415,---
270.0303894,0.092932697,21.52330589,99,,,,,16.255,15.647,15.549,0.3,0.441425622,415,---
270.183414,-0.068010862,21.82252884,99,,,,,15.532,15.074,14.814,0.3,0.412508458,415,---
270.0682343,-0.079342005,21.42783737,99,,,,,16.15,16.047,15.07,0.3,0.443747044,415,---
271.1417204,-0.498319649,20.59713173,25.0158844,15.081,13.963,13.526,13.054,11.483,10.937,10.772,0.3,0.448804498,415,25.0158844
271.0655557,-0.491608515,20.58065605,24.34762001,14.027,12.734,12.215,11.714,10.002,9.317,9.103,0.3,0.453959942,415,24.34762001
271.3035278,-0.560039305,22.05900192,23.63532448,,,,,14.268,13.899,13.695,0.3,0.482903749,415,23.63532448
276.0221291,1.687372016,21.32210159,24.88628578,13.397,11.863,11.255,10.217,8.297,7.737,7.487,0.3,1.329516768,415,24.88628578
275.7529198,1.657032271,23.07770157,99,,,,,15.688,15.129,14.886,0.3,1.200421095,415,---
276.1763966,1.632367433,18.56755447,20.76336479,12.261,11.175,10.712,10.294,8.658,8.376,8.142,0.3,1.430128813,415,20.76336479
276.3636746,1.543245926,21.13943863,23.07250595,15.269,13.967,13.53,12.987,11.239,10.93,10.712,0.3,1.411860466,415,23.07250595
275.8234588,1.534003876,21.93376541,22.87828445,14.449,13.309,12.856,12.474,11.232,10.681,10.478,0.3,1.40128243,415,22.87828445
276.2471372,1.519794157,21.15545273,99,,,,,16.304,15.401,15.023,0.3,1.46846211,415,---
276.3593367,1.519733958,20.31171799,23.24112701,,,,,14.153,13.01,12.602,0.3,1.443346739,415,23.24112701
276.2203306,1.495857324,21.62814903,23.86782074,,,,,15.972,15.288,14.832,0.3,1.438545704,415,23.86782074
275.9759137,1.490181078,21.17346001,25.14458466,,,,,15.085,14.228,13.94,0.3,1.462514162,415,25.14458466
276.3854211,1.484343586,21.02447319,22.99562263,,,,,14.935,14.189,13.876,0.3,1.403692245,415,22.99562263
276.1856639,1.484066691,21.90336418,99,,,,,17.133,16.032,15.579,0.3,1.404284954,415,---
276.2239465,1.480591035,21.14281082,23.14554405,,,,,13.728,13.092,12.864,0.3,1.464014411,415,23.14554405
272.2470802,-1.459085648,21.74948692,99,,,,,16.076,15.521,15.317,0.3,1.131025195,415,---
272.4265382,-1.578858301,21.92697144,22.96298981,,,,,13.787,13.197,13.013,0.3,1.304541826,415,22.96298981
272.7203127,-1.612515905,20.91282463,22.02937126,14.357,13.182,12.719,12.171,10.804,10.328,10.124,0.3,1.725799322,415,22.02937126
272.5260105,-1.629263135,19.02643967,22.75998497,,,,,16.525,17.14,16.644,0.3,1.39913094,415,22.75998497
272.0953818,-1.959440684,20.0681591,21.09961319,13.631,12.403,11.965,11.274,9.682,9.345,9.126,0.3,1.598187566,415,21.09961319
270.0711554,-0.245694172,21.06941986,21.79987717,13.68,12.354,11.902,11.392,9.867,9.236,9.054,0.3,0.418806136,415,21.79987717
270.1028923,-0.27705648,21.9547081,22.71779442,16.441,15.311,14.925,14.422,13.088,12.459,12.34,0.3,0.426535249,415,22.71779442
270.0720913,-0.391285959,21.60290909,22.66625786,17.172,16.704,,,15.117,14.911,14.598,0.3,0.422767013,415,22.66625786
270.0705404,-0.492778801,21.246418,22.71586227,17.027,16.195,15.883,15.573,14.571,14.234,13.991,0.3,0.420335293,415,22.71586227
270.1738182,-0.578271039,21.96958542,23.70453835,,,,,15.586,15.172,14.338,0.3,0.464035273,415,23.70453835
276.4059912,1.466606263,22.34813309,23.31697083,15.98,14.557,13.984,13.416,11.697,11.23,11.016,0.3,1.364540815,415,23.31697083
276.7054845,1.376851185,14.84181595,15.3359108,,,,,9.191,9.114,8.908,0.3,1.592489123,415,15.3359108
276.5274308,1.300550671,21.64278793,24.50935364,14.975,13.566,13.015,12.336,10.424,10.008,9.805,0.3,1.422818065,415,24.50935364
276.4752137,1.20838235,22.84354782,23.75728607,,,,,10.481,9.292,8.73,0.3,1.488212109,415,23.75728607
273.3162131,-0.712331405,21.52695084,22.90732384,14.927,13.714,13.222,12.654,10.957,10.577,10.355,0.3,1.072587609,415,22.90732384
272.860063,-0.821195886,20.62897491,24.2205143,12.222,10.833,10.318,9.715,8.134,7.484,7.28,0.3,1.10311532,415,24.2205143
273.0279221,-0.928206772,21.22366905,21.55946541,16.608,14.791,14.232,12.57,10.357,9.78,9.484,0.3,1.219807744,415,21.55946541
275.980731,1.426246984,20.56122971,23.55455589,14.529,13.135,12.585,12.06,10.384,9.977,9.775,0.3,1.443651557,415,23.55455589
270.6755581,-0.019035626,21.12262154,23.55104446,13.276,11.903,11.404,10.997,9.377,8.708,8.532,0.3,0.351830542,415,23.55104446
270.7983835,-0.10942686,21.23917198,99,,,,,12.893,12.398,12.059,0.3,0.355473727,415,---
274.2598609,-0.063518739,21.15039444,99,,,,,16.563,15.559,15.092,0.3,0.850406289,415,---
274.1435395,-0.090591014,21.44563484,23.69925308,12.774,11.263,10.686,10.091,8.347,7.713,7.504,0.3,0.884688199,415,23.69925308
274.3068672,-0.106561018,21.82364464,22.2449379,14.586,13.207,12.624,11.972,10.339,9.654,9.46,0.3,0.837840378,415,22.2449379
274.2748903,-0.105273053,19.4092617,23.21738052,11.646,10.262,9.752,9.208,7.671,7.114,6.893,0.3,0.837840378,415,23.21738052
274.5202878,-0.115153447,20.76124954,23.54413223,12.162,10.622,10.046,9.411,7.771,7.098,6.928,0.3,0.883354306,415,23.54413223
274.4982212,-0.162248137,20.8197155,21.83687973,15.467,14.294,13.813,13.266,12.021,11.424,11.237,0.3,0.862524211,415,21.83687973
274.1441966,-0.351457397,21.69485855,23.23950577,16.681,15.806,15.689,15.357,13.946,13.805,13.578,0.3,0.867477357,415,23.23950577
277.9960486,0.776065368,22.39498901,23.08380127,,,,,15.87,14.86,14.475,0.3,2.071136236,415,23.08380127
278.0108592,0.776608369,21.82184219,23.31919289,,,,,10.818,10.23,9.962,0.3,2.071136236,415,23.31919289
277.6495948,0.67430537,21.07229614,22.70871735,16.171,14.598,13.87,12.988,10.776,9.824,9.334,0.3,2.49704957,415,22.70871735
278.0442087,0.740446793,22.52796364,23.01008797,,,,,16.242,15.394,15.05,0.3,2.074728966,415,23.01008797
278.0031666,0.645117112,21.83649635,23.11573029,15.682,14.431,13.974,13.454,11.967,11.299,11.139,0.3,2.172780514,415,23.11573029
277.3059915,0.588798093,21.5271225,25.44970131,14.481,13.085,12.467,11.561,9.892,9.28,9.059,0.3,2.509523869,415,25.44970131
277.5713947,0.521144685,22.05120468,23.60452652,15.143,13.509,12.809,11.791,9.623,9.156,8.838,0.3,2.336959839,415,23.60452652
277.2741122,0.375765214,19.87109375,22.39035988,14.592,13.488,13.068,12.349,10.496,9.995,9.782,0.3,2.300159931,415,22.39035988
277.1761802,0.247681404,22.64154053,99,,,,,16.697,15.356,14.993,0.3,2.463871479,415,---
277.1992522,0.144586824,16.82648468,17.79054832,13.275,12.244,11.795,11.198,8.673,7.435,6.321,0.3,2.777490377,415,17.79054832
