casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag
							--------	--------	------	------	------	------		------	------	------
-1016868837	6.37545E+18	271.0303037	-0.382564106	0.417736322	21.65110397	23.75023651	4	5.6	15.54	14.618	14.293	14.047		12.52	12.084	11.988
-1016868836	6.37545E+18	271.1417623	-0.384985106	0.4243505	21.94029808	99										
-1016868834	6.37545E+18	271.353545	-0.379205344	0.416419744	19.60844421	99	2.6	-7.4	14.665	13.851	13.605	13.254		11.994	11.635	11.557
-1016868831	6.37545E+18	271.3278411	-0.38314265	0.419285625	21.51481056	99	3.1	-6.6	16.297	15.417	15.069	14.758		13.408	13.029	12.886
-1016868830	6.37545E+18	271.0424038	-0.382573267	0.417736322	20.7440815	22.31311417	-10	-13.5	      	      	      			14.852	14.649	14.595
-1016868829	6.37545E+18	271.365104	-0.385968384	0.416419744	21.24646187	99	-73.4	-3.4	17.248	16.064	      			14.101	13.633	13.575
-1016868825	6.37545E+18	271.0529029	-0.388430994	0.417736322	21.32285881	99	5.9	-8.8	16.109	15.274	14.882	14.627		13.407	13.052	12.942
-1016868823	6.37545E+18	271.0453751	-0.387815362	0.417736322	20.64300346	99	-1.2	5.7	13.478	12.163	11.699	11.175		9.547	8.909	8.726
-1016868815	6.37545E+18	271.1990838	-0.395447685	0.428133041	20.18226433	99	-5.7	4	14.708	13.856	13.532	13.203		11.883	11.513	11.43
-1016868814	6.37545E+18	271.0500175	-0.399930599	0.417736322	22.17630005	99	-1.7	-15.9	17.704	16.441	16.11			14.572	14.133	13.941
-1016868807	6.37545E+18	271.269955	-0.375250488	0.428501189	20.98325348	22.89166832	-0.6	-9.5	15.665	14.773	14.416	14.067		12.704	12.364	12.211
-1016868806	6.37545E+18	271.0235697	-0.402483469	0.428464621	21.70036697	23.83948898	        	        	      	      	      			13.097	12.55	12.334
-1016868805	6.37545E+18	271.1418554	-0.39952536	0.4243505	20.41046715	20.77805519	-10.2	-5.8	      	      	      			14.633	14.481	14.404
-1016868803	6.37545E+18	271.3355307	-0.392510861	0.419285625	17.28028488	99	-39.5	11.5	12.145	11.466	11.231	11.06		10.065	9.733	9.632
-1016868802	6.37545E+18	271.1949685	-0.405546478	0.428133041	21.8692131	24.97945595	0.6	-0.9	16.361	15.553	15.246	14.99		13.53	13.192	13.038
-1016868800	6.37545E+18	271.1664086	-0.405354823	0.4243505	21.5804615	99	-17.1	-21.6	16.387	15.691	15.381	14.966		13.689	13.32	13.12
-1016868797	6.37545E+18	271.2222881	-0.405631806	0.433175951	21.00582123	99	0.9	-1.1	15.985	15.189	14.982	14.602		13.188	12.882	12.73
-1016868796	6.37545E+18	271.0054335	-0.402612865	0.428464621	21.45309258	99										
-1016868795	6.37545E+18	271.0508227	-0.406597672	0.428464621	20.5342617	21.19879723	-10	-26.5	      	      	      			15.435	15.246	15.038
-1016868789	6.37545E+18	271.3486321	-0.402814091	0.427582711	20.30540466	20.88192558										
-1016868787	6.37545E+18	271.1155681	-0.408764313	0.419703811	19.73634148	22.54991531	-2.5	-9.4	14.885	14.102	13.892	13.545		12.226	11.873	11.768
-1016868784	6.37545E+18	271.0624209	-0.41526063	0.42440328	22.15746307	99										
-1016868775	6.37545E+18	271.2267206	-0.418434233	0.433175951	21.52025795	99	-7.3	-0.6	16.056	15.314	14.915	14.596		13.32	12.961	12.809
-1016868773	6.37545E+18	271.2538083	-0.421710794	0.429748684	21.14767265	23.03530502	-0.5	-6.5	15.347	14.368	13.993			12.198	11.76	11.611
-1016868772	6.37545E+18	271.0492162	-0.421808361	0.434940904	21.59693909	99										
-1016868771	6.37545E+18	271.0916157	-0.424761173	0.42440328	21.76272011	99										
-1016868767	6.37545E+18	271.3028564	-0.427652608	0.438629448	21.60506821	21.63835526	-5	-5.7	16.77	15.895	15.513	15.444		13.778	13.443	13.265
-1016868765	6.37545E+18	271.192551	-0.430194845	0.432562232	20.81375504	20.30648804										
-1016868757	6.37545E+18	271.1246685	-0.436510619	0.431583136	21.75172043	99										
-1016868755	6.37545E+18	271.1819548	-0.434618607	0.432562232	20.14375114	23.35441971	6	7.3	15.049	14.242	13.914	13.656		12.255	11.928	11.818
-1016868752	6.37545E+18	271.0532693	-0.437196692	0.434940904	20.93492317	23.70116425	0.2	-3.5	15.404	14.54	14.201	13.925		12.492	12.172	12.03
-1016868751	6.37545E+18	271.3294852	-0.440689705	0.43068856	21.81027412	99	-3.4	-9.3	      	      	      			13.591	13.208	13.147
-1016868749	6.37545E+18	271.1323269	-0.43934769	0.426874727	20.54585648	99	-2.3	0.8	15.82	14.996	14.763	14.502		13.148	12.876	12.825
-1016868748	6.37545E+18	271.0256685	-0.443609888	0.453114122	21.80484772	22.35402489										
-1016868744	6.37545E+18	271.1863229	-0.443209945	0.432562232	20.27053642	25.46166992	-0.3	-6.1	14.93	14.026	13.74	13.33		12.054	11.663	11.562
-1016868742	6.37545E+18	271.2058541	-0.450105215	0.432562232	21.90616226	99								15.681	15.228	15.168
-1016868741	6.37545E+18	271.1796405	-0.443076149	0.426874727	18.81481171	99	-2.5	-11.9	14.164	13.485	13.281	13.03		11.657	11.277	11.227
-1016868737	6.37545E+18	271.2121487	-0.425950196	0.433175951	21.52091217	23.49046326	-4.2	-5.4	15.659	14.757	14.393	14.085		12.673	12.28	12.154
-1016868736	6.37545E+18	270.9773446	-0.446913874	0.479538172	19.92681503	20.09160614										
-1016868735	6.37545E+18	270.9968503	-0.445577944	0.479538172	19.88450241	23.68713379	-4.8	-8.3	15.207	14.534	14.224	14.043		12.596	12.253	12.118
-1016868731	6.37545E+18	271.1503102	-0.454089433	0.426874727	21.37850571	20.61987686										
-1016868729	6.37545E+18	271.2670269	-0.453641303	0.446991086	20.12516785	21.38446236	-4.8	-4.4	15.123	14.373	14.186	13.907		12.624	12.358	12.261
-1016868720	6.37545E+18	271.1972734	-0.45788226	0.442910016	20.82569885	99	11.1	-2.9	      	      	      			12.759	12.471	12.358
-1016868718	6.37545E+18	271.105302	-0.460567472	0.441040903	21.9530735	22.89276123	-3.9	-16.6	16.156	15.059	14.586	14.149		12.657	12.118	11.996
-1016868713	6.37545E+18	271.196346	-0.45266933	0.432562232	19.81189919	99	-11.5	-21.6	13.833	12.954	12.627	12.364		11.13	10.712	10.631
-1016868710	6.37545E+18	271.3183644	-0.467226132	0.453770667	21.59574127	99										
-1016883363	6.3756E+18	270.0003008	-2.667172812	0.890428305	19.7292614	99	2.3	5.3	14.157	13.224	12.908	12.521		11.316	10.994	10.859
-1016883340	6.3756E+18	270.0099684	-2.732566069	0.950669706	18.55437088	99	-6	-7	13.202	12.234	11.935	11.579		10.432	10.125	9.986
-1016883291	6.3756E+18	270.0216465	-2.857740766	1.053471088	21.80562973	99										
-1016875398	6.3756E+18	270.0042784	-1.743179937	0.645717919	18.42268181	21.50870895	17.8	6.1	13.562	12.577	12.324	12.017		11.275	11.034	10.756
-1016875361	6.3756E+18	270.1599984	-1.822919074	0.598766327	20.98914909	99	        	        	15.867	14.711	14.419	14.046		12.976	12.605	12.53
-1016875359	6.3756E+18	270.1231882	-1.832672352	0.595694065	22.02087212	99										
-1016875357	6.3756E+18	270.1344135	-1.834132906	0.595694065	20.92960739	99										
-1016875340	6.3756E+18	270.1629396	-1.87274204	0.607665539	20.84717369	24.29688072	11	7.5	14.894	13.677	13.336	12.894		11.571	11.175	11.055
-1016875334	6.3756E+18	270.031389	-1.879821405	0.587686479	21.96167755	22.17787743										
-1016875328	6.3756E+18	270.0900393	-1.886013406	0.59171778	20.08648491	21.87427711	-3.5	-6.4	15.262	14.119	13.815	13.435		12.182	11.811	11.666
-1016875322	6.3756E+18	270.114053	-1.894439475	0.599108756	19.89649773	21.95349693	-33	-30.5	14.099	12.951	12.645	12.31		11.186	10.789	10.674
-1016875319	6.3756E+18	270.134881	-1.903901089	0.621457636	20.01948738	22.97139549	-3.5	-1.9	15.293	14.339	14.123	13.919		12.76	12.506	12.411
-1016875311	6.3756E+18	270.1129314	-1.927460019	0.603875279	21.76922035	99										
-1016875290	6.3756E+18	270.0277763	-1.965614815	0.583607733	21.52219963	99	2.9	11.7	16.226	15.069	14.917			13.134	12.709	12.59
-1016875284	6.3756E+18	270.1197235	-1.979941711	0.604097009	21.90946198	99								16.692	15.732	15.222
-1016875275	6.3756E+18	270.0247177	-1.991167709	0.589906991	18.85900116	22.6847477	-4.3	-1.1	14.042	13.081	12.85	12.537		11.427	11.088	10.981
-1016875265	6.3756E+18	270.1262729	-2.012937194	0.605570376	20.69177628	99	-9.2	-0.9	15.295	14.14	13.764	13.336		12.188	11.756	11.632
-1016875262	6.3756E+18	270.1706639	-2.017861116	0.618984938	21.62103653	22.15074348	1.9	-0.6	16.326	15.158	14.836	14.469		13.166	12.757	12.659
-1016875252	6.3756E+18	270.1427253	-2.029271772	0.605570376	21.978508	24.23160172	4.1	3.1	16.709	15.626	15.156	14.771		13.518	13.067	12.975
-1016875250	6.3756E+18	270.1026669	-2.031532319	0.599186063	22.17090034	24.32500458										
-1016875248	6.3756E+18	270.1952529	-1.986769427	0.63128382	14.58205795	16.58359146	7.9	-1.1	10.895	10.342	10.377	10.199		9.469	9.344	9.25
-1016875243	6.3756E+18	270.1094909	-2.036252849	0.599186063	20.6582737	19.90726852										
-1016875237	6.3756E+18	270.120542	-2.051304801	0.619749427	21.43107986	22.24006653	11.7	-1.6	15.48	14.314	13.971	13.593		12.43	12.004	11.835
-1016875236	6.3756E+18	270.0814601	-2.052539652	0.601951957	21.51947594	22.66756439	0.6	-0.4	      	      	      			13.381	12.96	12.845
-1016875235	6.3756E+18	270.0891208	-2.040453678	0.599186063	18.13788033	23.03545761	1.1	10	13.622	12.75	12.49	12.235		11.256	10.922	10.822
-1016875233	6.3756E+18	270.0579978	-2.056856653	0.601951957	21.22006035	24.82070923	-6.3	2.6	      	      	      			13.812	13.312	13.232
-1016875232	6.3756E+18	270.1711967	-2.057737084	0.629499495	21.69067001	25.18561554	0.3	-1.6	16.869	15.972	15.69	15.064		14.844	14.389	14.528
-1016875229	6.3756E+18	270.1952642	-2.055182293	0.631488562	21.09276199	21.0733757										
-1016875227	6.3756E+18	270.1497364	-2.063558687	0.629499495	19.47017288	21.62283325	-10.8	-9.5	14.847	13.746	13.388	12.761		12.323	11.993	11.934
-1016875219	6.3756E+18	270.0083935	-2.085309672	0.601936758	21.46970177	24.47277832	4.2	13.8	16.732	15.635	15.213	14.653		13.453	13.029	12.881
-1016875215	6.3756E+18	270.166041	-2.091091179	0.658526957	20.92826653	24.47161865	-10	4.9	16.417	15.702	      			14.085	13.802	13.7
-1016875214	6.3756E+18	270.1933537	-2.064315508	0.657065392	18.06378555	99	-0.6	5.2	13.125	12.236	12.028	11.799		10.826	10.558	10.459
-1016875213	6.3756E+18	270.1084815	-2.091592279	0.62168467	19.54046822	21.36319733	0.4	0.9	14.429	13.375	13.064	12.703		11.519	11.131	11.041
-1016875202	6.3756E+18	270.0108909	-2.115694781	0.621237397	21.18372917	23.07820129	0.5	1.9	15.562	14.403	14.083	13.711		12.449	12.072	11.938
-1016875200	6.3756E+18	270.0668113	-2.122785067	0.656429291	22.16158295	99										
-1016875197	6.3756E+18	270.1252562	-2.097019523	0.660547972	15.88916779	21.70347786	-5.3	-14.5	11.649	10.905	10.734	10.578		9.751	9.479	9.386
-1016875191	6.3756E+18	270.0536714	-2.118798176	0.656429291	17.57294083	99	-87.6	-40.7	11.953	11.053	10.816	10.606		9.694	9.242	9.165
-1016875183	6.3756E+18	270.162282	-2.110981782	0.658526957	19.73092651	21.29373932	2.2	-2.6	14.517	13.337	13.064	12.858		11.699	11.367	11.241
-1016875168	6.3756E+18	270.0952143	-2.158091444	0.684920609	19.34262085	99	-5.6	-1.5	14.365	13.378	13.069	12.718		11.571	11.188	11.098
-1016875164	6.3756E+18	270.0118937	-2.191285547	0.661936879	20.84310341	23.48697281	3.3	14.4	13.234	11.741	11.242	10.667		9.123	8.374	8.23
-1016875161	6.3756E+18	270.1210558	-2.196571992	0.714046836	21.51007462	99	10.1	-45	15.309	14.177	13.826	13.338		11.988	11.529	11.371
-1016875157	6.3756E+18	270.0935889	-2.200236234	0.698548913	19.9908371	99	7.7	-4.5	14.686	13.614	13.306	12.936		11.739	11.37	11.281
-1016875153	6.3756E+18	270.1268358	-2.203054099	0.714046836	20.32388878	22.90446854	4.1	3.7	15.15	14.065	13.738	13.332		12.041	11.659	11.541
-1016875152	6.3756E+18	270.14443	-2.206558362	0.714046836	21.20790291	99										
-1016875150	6.3756E+18	270.1193449	-2.209811132	0.714046836	21.68151093	99	-1.5	3.8	16.328	15.251	14.767	14.227		13.135	12.749	12.616
-1016875147	6.3756E+18	270.1853991	-2.210554308	0.745605886	21.67428589	99										
-1016875144	6.3756E+18	270.172193	-2.208051622	0.721107006	18.91467285	22.31309509	51.8	37.9	      	12.655	      	12.136		11.065	10.761	10.646
