n,objid,ra,dec,e_bv,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,d
49,2.56515E+18,276.4752137,1.20838235,1.488212109,22.84354782,23.75728607,,,,,10.481,9.292,8.73,0.3,415
50,6.37545E+18,272.860063,-0.821195886,1.10311532,20.62897491,24.2205143,12.222,10.833,10.318,9.715,8.134,7.484,7.28,0.3,415
51,6.37545E+18,273.0279221,-0.928206772,1.219807744,21.22366905,21.55946541,16.608,14.791,14.232,12.57,10.357,9.78,9.484,0.3,415
52,6.37545E+18,270.6755581,-0.019035626,0.351830542,21.12262154,23.55104446,13.276,11.903,11.404,10.997,9.377,8.708,8.532,0.3,415
53,6.37545E+18,270.7983835,-0.10942686,0.355473727,21.23917198,---,,,,,12.893,12.398,12.059,0.3,415
54,6.37545E+18,274.2598609,-0.063518739,0.850406289,21.15039444,---,,,,,16.563,15.559,15.092,0.3,415
55,6.37545E+18,274.1435395,-0.090591014,0.884688199,21.44563484,23.69925308,12.774,11.263,10.686,10.091,8.347,7.713,7.504,0.3,415
56,6.37545E+18,274.3068672,-0.106561018,0.837840378,21.82364464,22.2449379,14.586,13.207,12.624,11.972,10.339,9.654,9.46,0.3,415
57,6.37545E+18,274.5202878,-0.115153447,0.883354306,20.76124954,23.54413223,12.162,10.622,10.046,9.411,7.771,7.098,6.928,0.3,415
58,2.56522E+18,277.9960486,0.776065368,2.071136236,22.39498901,23.08380127,,,,,15.87,14.86,14.475,0.3,415
59,2.56522E+18,278.0108592,0.776608369,2.071136236,21.82184219,23.31919289,,,,,10.818,10.23,9.962,0.3,415
60,2.56522E+18,277.6495948,0.67430537,2.49704957,21.07229614,22.70871735,16.171,14.598,13.87,12.988,10.776,9.824,9.334,0.3,415
61,2.56522E+18,278.0442087,0.740446793,2.074728966,22.52796364,23.01008797,,,,,16.242,15.394,15.05,0.3,415
62,2.56522E+18,278.0031666,0.645117112,2.172780514,21.83649635,23.11573029,15.682,14.431,13.974,13.454,11.967,11.299,11.139,0.3,415
63,2.56522E+18,277.3059915,0.588798093,2.509523869,21.5271225,25.44970131,14.481,13.085,12.467,11.561,9.892,9.28,9.059,0.3,415
64,2.56522E+18,277.5713947,0.521144685,2.336959839,22.05120468,23.60452652,15.143,13.509,12.809,11.791,9.623,9.156,8.838,0.3,415
65,2.56522E+18,277.1761802,0.247681404,2.463871479,22.64154053,---,,,,,16.697,15.356,14.993,0.3,415
66,6.37545E+18,271.0741617,-0.690589735,0.481578767,21.97614479,23.72158432,,,,,16.488,16.292,15.972,0.3,415
67,6.37545E+18,271.028134,-0.89418233,0.533280015,20.73033524,22.60022545,13.92,12.527,12.033,11.371,9.526,8.872,8.699,0.3,415
68,6.37545E+18,271.1809027,-0.965128565,0.575167298,20.02692795,21.87157059,12.624,11.237,10.761,10.081,8.299,7.678,7.44,0.3,415
69,6.37545E+18,270.5974783,-0.043644101,0.365749061,21.46653557,22.82062531,,,,,14.499,14.216,13.826,0.3,415
70,6.37545E+18,270.8293632,-0.230653906,0.408268094,21.95426178,23.98118019,,,,,16.265,15.617,15.429,0.3,415
71,6.37545E+18,272.516479,-0.518103248,0.822646737,21.55768585,21.65478897,,,,,16.513,15.858,15.001,0.3,415
72,6.37545E+18,272.7380149,-1.156572776,1.180814624,20.68926048,23.11385727,11.739,10.275,9.76,9.175,7.652,7.007,6.828,0.3,415
73,6.37545E+18,273.1406613,-1.203699664,1.347353935,21.98256111,23.12099838,,,,,16.197,15.63,14.969,0.3,415
74,6.37545E+18,273.0342338,1.355509148,0.697749674,19.61824417,23.21271515,11.637,9.997,,,6.86,6.112,5.87,0.3,415
75,6.37545E+18,274.8951677,0.96784511,1.0017519,21.23278427,22.06938934,,,,,16.025,15.431,14.399,0.3,415
76,6.37545E+18,274.5963559,0.90143877,1.023976207,21.88682556,---,,,,,14.582,13.864,13.735,0.3,415
77,6.37545E+18,274.8570189,0.841894627,1.015461445,19.72034073,23.97491646,9.912,8.779,8.634,7.069,4.208,3.24,2.952,0.3,415
78,2.56522E+18,277.8954583,0.478280638,2.176544428,22.93976212,---,,,,,15.344,14.226,13.851,0.3,415
79,2.56522E+18,277.5271691,0.432384502,2.350797176,22.73765755,---,,,,,16.739,15.348,15.211,0.3,415
80,2.56522E+18,277.514666,0.395783132,2.41611743,21.64230347,23.64604187,,,,,13.226,12.344,11.619,0.3,415
81,2.56522E+18,277.7774307,0.353549742,2.263697863,22.73434067,24.17073441,,,,,16.661,15.07,15.055,0.3,415
82,2.56522E+18,277.7069661,0.374616743,2.404630661,20.16852951,---,,,,,15.013,13.861,13.446,0.3,415
83,2.56522E+18,277.4172422,0.253453568,2.577321291,22.52510834,22.58375549,,,,,15.389,14.785,14.159,0.3,415
84,6.37545E+18,270.1851868,-1.420468857,0.614081979,21.78273392,23.47341156,,,,,16.675,16.669,16.102,0.3,415
85,6.37545E+18,271.1918035,-1.136065052,0.669139147,21.69779587,22.52863121,,,,,16.105,15.409,14.981,0.3,415
86,6.37545E+18,270.9758029,-1.1545829,0.595725477,20.26200676,25.37615967,14.845,13.751,13.347,12.822,11.445,10.902,10.493,0.3,415
87,6.37545E+18,270.7329077,-0.283634596,0.443258792,21.20869064,---,15.491,14.501,14.105,13.803,12.952,11.945,11.816,0.3,415
88,6.37545E+18,270.9690578,-0.292441493,0.413244188,18.62286186,19.77729988,,,,,14.989,14.406,14.165,0.3,415
89,6.37545E+18,270.7892012,-0.305359543,0.439949542,22.1494503,---,,,,,13.692,13.085,12.787,0.3,415
90,6.37545E+18,272.9902296,1.055870651,0.8000772,21.47934532,22.9899044,15.73,13.543,12.677,11.615,9.351,8.436,8.101,0.3,415
91,6.37545E+18,272.7873681,1.06749084,0.766819537,21.51065445,24.01818085,13.721,12.105,11.469,10.703,8.915,8.245,7.993,0.3,415
92,6.37545E+18,270.7598691,-0.342590423,0.451924086,21.79964447,23.0402565,,,,,16.68,15.984,15.641,0.3,415
93,6.37545E+18,275.0902513,0.650839188,1.077688217,21.88306427,24.08230591,,,,,16.201,15.008,14.936,0.3,415
94,6.37545E+18,274.8916221,0.528521105,0.993572831,21.54257774,24.30574226,,,,,16.631,17.221,15.695,0.3,415
95,2.56522E+18,277.6612543,0.075288196,2.10306716,23.03415298,24.43445969,,,,,16.01,15.489,14.874,0.3,415
96,2.56522E+18,278.0681743,-0.11721338,2.29716444,19.47107315,21.93759537,,,,,16.615,15.887,14.74,0.3,415
97,2.56522E+18,277.9307028,-0.239291652,2.323605299,21.91263199,23.27634048,,,,,16.911,15.766,15.292,0.3,415
98,6.37545E+18,274.0421524,0.918494578,0.901367366,20.98926926,23.09352112,,,,,15.676,14.417,14.24,0.3,415
99,6.37545E+18,274.3210111,0.858997628,0.904459,22.2115097,---,,,,,16.316,15.844,15.485,0.3,415
100,6.37545E+18,271.3497671,-1.269486849,0.745532215,20.20038795,24.13723755,10.972,9.407,,,6.351,5.566,5.346,0.3,415
101,6.37545E+18,271.4546928,-1.327183703,0.81981504,20.85795593,21.33663177,,,,,16.417,15.666,15.054,0.3,415
102,6.37545E+18,271.5186396,-1.436948801,0.983616889,21.95817566,---,,,,,15.876,15.292,14.991,0.3,415
103,6.37545E+18,270.9476069,-0.488218106,0.503451824,21.98485374,---,,,,,16.076,15.307,15.066,0.3,415
104,6.37545E+18,274.8742188,0.361922482,0.997502983,22.04980659,23.84384727,,,,,15.976,15.173,15.092,0.3,415
105,6.37545E+18,272.6597532,0.853718687,0.645853817,22.01676559,---,,,,,16.35,15.646,15.284,0.3,415
106,6.37545E+18,272.9587891,0.330321133,0.516329408,19.72276306,21.59038353,,,,,15.707,15.015,14.593,0.3,415
107,6.37545E+18,272.8140756,0.409158425,0.594808638,21.52951431,22.54264641,,,,,16.555,16.078,15.666,0.3,415
108,6.37545E+18,274.395351,0.735136063,0.950969577,20.70812225,21.85238647,17.047,14.873,13.842,12.262,9.439,8.268,7.931,0.3,415
109,6.37545E+18,273.7009287,0.673821448,0.725852013,21.58761406,22.71360016,,,,,15.152,14.363,14.166,0.3,415
110,6.37545E+18,274.1232518,0.645091533,0.765728056,21.83810806,23.41621017,,,,,16.806,16.211,15.773,0.3,415
111,6.37545E+18,273.7968335,0.561225387,0.698919952,21.35394287,21.84803581,13.346,11.926,11.373,10.788,9.137,8.48,8.334,0.3,415
112,6.37545E+18,270.4851674,-0.544557587,0.552240193,21.61793327,---,,,,,13.488,12.794,12.673,0.3,415
113,6.37545E+18,274.924974,-0.063199296,1.013823271,21.71658134,23.7799015,13.757,12.009,11.324,10.478,8.617,7.962,7.748,0.3,415
114,6.37545E+18,274.5445928,-0.231099207,0.852751613,21.51159286,24.84186554,,,,,15.686,15.126,14.769,0.3,415
115,6.37545E+18,271.2498365,-1.55584561,1.013405085,20.74825096,21.05795479,,,,,16.775,15.292,15.112,0.3,415
116,6.37545E+18,271.5364243,-1.590458983,1.341668844,21.34957695,---,,,,,13.12,12.29,12.084,0.3,415
117,6.37545E+18,271.5573049,-1.953384489,1.423936605,21.98967934,---,,,,,14.399,13.68,13.398,0.3,415
118,6.37545E+18,271.7298386,-0.257903501,0.501028895,21.07169724,23.42506599,13.524,11.985,11.42,10.784,9.028,8.396,8.185,0.3,415
119,6.37545E+18,272.5789785,0.566395573,0.526864111,20.39219093,19.18925667,,,,,13.338,12.675,12.464,0.3,415
