n,objid,ra,dec,e_bv,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,d
209,6.37545E+18,273.142744,-0.18835991,0.746945441,21.37191582,---,,,,,15.675,15.211,14.844,0.3,415
210,6.37545E+18,273.0021377,-0.230840176,0.674862802,22.078125,---,,,,,16.278,15.413,14.987,0.3,415
211,6.37545E+18,274.3356086,0.958346524,0.907547891,21.11144066,22.26045418,,,,,16.839,16.175,15.6,0.3,415
212,6.37542E+18,270.8596484,-0.043923716,0.341111958,22.12235069,---,,,,,15.741,15.048,14.754,0.3,415
213,6.37545E+18,272.1208471,-0.081618294,0.609333217,21.864748,24.66307831,,,,,13.459,12.761,12.614,0.3,415
214,6.37545E+18,272.5706619,-0.090356934,0.631785572,21.14048004,21.31606102,,,,,13.757,13.037,12.87,0.3,415
215,6.37545E+18,272.5906559,-0.096391065,0.631785572,21.38230515,22.61283493,,,,,15.031,14.653,14.385,0.3,415
216,6.37542E+18,271.5926923,0.519564168,0.440485179,21.07471848,21.49484825,,,,,16.004,16.695,16.361,0.3,415
217,6.37542E+18,271.5389198,0.503868184,0.438494951,21.77718163,24.62471008,13.197,11.886,11.41,10.884,9.4,8.711,8.574,0.3,415
218,6.37542E+18,271.0752182,0.46755513,0.377992839,21.72791862,22.92562294,,,,,15.809,15.452,15.115,0.3,415
219,6.37542E+18,271.1744161,0.462809204,0.417091638,21.19230652,24.13163567,,,,,16.131,15.672,15.369,0.3,415
220,6.37542E+18,271.1029419,0.453530271,0.377992839,21.04837227,20.62077522,,,,,15.91,15.233,14.754,0.3,415
221,6.37545E+18,272.6438472,-0.248206983,0.677217185,21.35562134,22.05475044,,,,,15.879,15.908,15.086,0.3,415
222,6.37545E+18,272.4829658,-0.40067126,0.757908583,19.77517128,23.71170235,11.767,10.43,9.944,9.371,7.862,7.283,7.056,0.3,415
223,6.37542E+18,271.0426826,0.41651055,0.419481993,21.49687767,24.66008186,14.282,12.876,12.353,11.779,10.1,9.463,9.256,0.3,415
224,6.37542E+18,271.6155717,0.4037034,0.433675706,21.92203522,23.11745834,14.844,13.254,12.614,11.822,9.967,9.164,8.942,0.3,415
225,6.37542E+18,271.0262446,0.362512695,0.452197284,21.56194496,---,,,,,15.888,15.575,14.838,0.3,415
226,6.37545E+18,273.5318836,-0.456391588,0.793910146,21.4479351,22.52126503,13.606,12.119,11.55,11.052,9.27,8.614,8.442,0.3,415
227,6.37545E+18,273.2835768,-0.499261915,0.816145062,20.92279434,24.08346939,12.833,11.323,10.756,10.215,8.375,7.731,7.555,0.3,415
228,6.37545E+18,271.9076671,-0.22455697,0.540691793,21.8218956,25.02572441,17.199,16.815,16.725,,15.02,14.661,14.362,0.3,415
229,6.37542E+18,271.4927258,0.306149854,0.416117698,21.358881,22.02111244,,,,,16.309,16.322,15.94,0.3,415
230,6.37542E+18,271.1507845,0.299077615,0.467166215,21.79666328,---,,,,,16.125,15.543,15.078,0.3,415
231,6.37542E+18,271.5545893,0.225783305,0.418253511,20.57460403,20.98356247,,,,,15.265,15.375,14.944,0.3,415
232,6.37545E+18,272.1301032,-0.175538101,0.56283778,20.31395531,22.32108307,,,,,16.386,15.814,15.47,0.3,415
233,6.37542E+18,270.9756224,0.17560214,0.42048049,20.99736404,24.35692787,,,,,14.654,14.507,14.188,0.3,415
234,6.37542E+18,271.6545585,0.135998488,0.433601558,21.66208649,23.81043243,14.32,12.953,12.429,11.83,10.275,9.573,9.427,0.3,415
235,6.37542E+18,271.5705004,0.13309605,0.411712438,21.81732941,---,16.435,15.679,15.024,14.67,14.548,13.966,13.741,0.3,415
236,6.37542E+18,271.6680583,0.117564995,0.433601558,21.25981903,22.70186234,,,,,16.479,15.862,14.739,0.3,415
237,6.37542E+18,271.3749729,0.125405596,0.456888705,20.49884224,24.28644943,,,,,14.246,11.248,10.956,0.3,415
238,6.37542E+18,271.1016161,0.066256491,0.408473223,19.91277885,20.3299942,,,,,15.885,15.775,15.334,0.3,415
239,6.37542E+18,271.306091,0.062487836,0.432783157,20.53740311,22.45792007,12.945,11.636,11.02,10.344,8.826,8.139,7.979,0.3,415
240,6.37542E+18,271.0731524,0.054822157,0.412486076,21.04622459,24.5261631,,,,,15.703,15.396,15.128,0.3,415
241,6.37545E+18,272.125997,-0.748086752,0.863599479,21.28121948,---,16.433,14.936,14.322,13.217,11.401,10.71,10.544,0.3,415
242,6.37542E+18,271.4980767,-0.002129846,0.439044386,20.66363907,22.50658035,12.777,11.474,11.003,10.499,8.932,8.44,8.173,0.3,415
243,6.37542E+18,271.6528929,-0.038605953,0.45563072,21.32448578,21.43580818,,,,,16.301,15.972,15.461,0.3,415
244,6.37542E+18,271.4679157,-0.032535704,0.441626608,21.10872841,---,,,,,15.839,15.422,14.902,0.3,415
245,6.37545E+18,272.129047,-0.980642256,1.059630871,22.00088692,---,,,,,15.744,14.87,14.907,0.3,415
246,6.37545E+18,271.8186274,-1.027191907,0.896495819,21.7485733,---,,,,,16.278,15.593,15.398,0.3,415
247,6.37542E+18,271.3507815,-0.158153477,0.412718892,21.86893463,23.6800499,16.385,15.349,15.037,,13.526,12.628,12.58,0.3,415
248,6.37542E+18,271.6934163,-0.151515697,0.465771556,19.803339,20.39578629,,,,,16.42,16.262,15.664,0.3,415
249,6.37542E+18,271.1019615,-0.180012957,0.417274207,21.79487038,---,,,,,16.668,15.885,15.349,0.3,415
250,6.37542E+18,271.1578493,-0.237257771,0.449838728,20.60479736,21.97633743,,,,,12.982,12.316,12.047,0.3,415
251,6.37542E+18,270.9934477,-0.244376717,0.391097933,19.76771545,23.3955307,12.835,11.558,11.079,10.62,8.949,8.425,8.146,0.3,415
