casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag					
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag					
							--------	--------	------	------	------	------		------	------	------	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016899625	6.37545E+18	271.7882299	-2.643112122	1.516292334	17.98208046	22.01310158	0.9	10.9	12.437	11.447	11.119	10.687		9.387	9.034	8.873	4.031021118	8.94808046	6.86308046	0.514	0.161
-1016868978	6.37545E+18	270.9757976	-0.260961624	0.401445478	19.74526596	19.97109795	-9.4	-6.4	16.739	15.99	      			15.357	15.257	15.126	0.225831985	4.488265961	#ЗНАЧ!	0.231	0.131
-1016868964	6.37545E+18	271.0017919	-0.274229997	0.401445478	20.03055573	21.48358727	-6.1	-0.3	16.67	16.013	      			15.117	15.077	14.869	1.45303154	4.953555725	#ЗНАЧ!	0.248	0.208
-1016868939	6.37545E+18	270.9852774	-0.291031984	0.401445478	19.48254967	20.08354759								15.885	15.721	15.27	0.600997925	3.761549667	-100	0.615	0.451
-1016868929	6.37545E+18	270.9803151	-0.304566075	0.413244188	20.55854988	99											-100	-100	-100	-100	-100
-1016868909	6.37545E+18	270.9726402	-0.30532983	0.413244188	18.85072708	19.27742958											0.426702499	-100	-100	-100	-100
-1016868900	6.37545E+18	271.0333646	-0.328759601	0.406651855	20.23950768	21.61108398	-5.8	1.8	13.2	12.002	11.611	11.106		9.544	8.949	8.827	1.371576309	11.29050768	8.628507675	0.717	0.122
-1016868894	6.37545E+18	270.9794288	-0.338453526	0.432010978	21.36057281	23.00559998	3.8	-2.6	16.48	15.671	15.358	15.118		13.701	13.384	13.263	1.645027161	7.976572815	6.002572815	0.438	0.121
-1016868886	6.37545E+18	271.1052965	-0.32060723	0.43413353	21.10897827	22.07300568								16.447	16.149	16.293	0.964027405	4.959978271	-100	0.154	-0.144
-1016868879	6.37545E+18	271.132263	-0.353204569	0.424161434	22.10861969	99								15.608	15.126	14.928	-100	6.98261969	-100	0.68	0.198
-1016868877	6.37545E+18	271.0287468	-0.355085844	0.412268341	21.89405823	99											-100	-100	-100	-100	-100
-1016868875	6.37545E+18	271.0032014	-0.3523006	0.412268341	21.16765022	22.61996269	-3.9	-5.1	      	      	      			13.268	12.665	12.46	1.452312469	8.502650223	#ЗНАЧ!	0.808	0.205
-1016868872	6.37545E+18	271.168555	-0.358112094	0.431292236	21.62033081	22.32484818	0.4	-0.3	      	      	      			14.297	13.997	13.788	0.704517365	7.623330811	#ЗНАЧ!	0.509	0.209
-1016868871	6.37545E+18	271.3664966	-0.357576268	0.416419744	21.88421631	99											-100	-100	-100	-100	-100
-1016868869	6.37545E+18	270.9981656	-0.35586515	0.431198925	20.01783562	20.84002686								15.43	15.231	15.653	0.822191238	4.786835617	-100	-0.223	-0.422
-1016868867	6.37545E+18	271.0099182	-0.357951632	0.412268341	21.85642052	99											-100	-100	-100	-100	-100
-1016868866	6.37545E+18	271.2888204	-0.358583869	0.422977448	20.45928955	23.31755066	-6.4	-1.3	15.323	14.483	14.196	13.917		12.577	12.232	12.127	2.858261108	8.227289551	6.263289551	0.45	0.105
-1016868861	6.37545E+18	271.2813118	-0.355604635	0.422977448	17.96923065	22.22428894	-10.1	-21.5	13.39	12.692	12.445	12.164		11.331	11.028	10.931	4.255058289	6.941230652	5.524230652	0.4	0.097
-1016868859	6.37545E+18	271.2574076	-0.367595228	0.428501189	22.23581696	25.60460663											3.368789673	-100	-100	-100	-100
-1016868851	6.37545E+18	271.2426901	-0.371349447	0.431114048	20.78975868	22.47698212	-13.4	2.1	16.383	15.526	15.297	15.096		13.967	13.725	13.547	1.687223434	7.064758682	5.492758682	0.42	0.178
-1016868850	6.37545E+18	271.3039023	-0.361499079	0.422977448	17.4513588	99	-25	-32.9	11.745	10.949	10.693	10.416		9.274	8.9	8.718	-100	8.551358795	6.758358795	0.556	0.182
-1016868849	6.37545E+18	271.2239087	-0.369284509	0.431114048	19.92002869	99	        	        	      	      	      			12.454	12.17	12.047	-100	7.750028687	#ЗНАЧ!	0.407	0.123
-1016868847	6.37545E+18	270.9903189	-0.358050652	0.431198925	20.13315964	23.19962502	28.3	9.3	14.895	14.032	13.8	13.431		12.102	11.702	11.592	3.066465378	8.431159637	6.333159637	0.51	0.11
-1016868842	6.37545E+18	271.0999049	-0.374184758	0.417585015	19.85652733	99	-1.1	7.8	13.877	13.026	12.68	12.423		11.223	10.788	10.692	-100	9.068527328	7.176527328	0.531	0.096
-1016868840	6.37545E+18	271.199743	-0.370407678	0.428133041	21.39295578	24.36525345	-1.4	-38.4	15.397	14.421	14.06	13.724		12.353	11.912	11.79	2.972297668	9.48095578	7.33295578	0.563	0.122
-1016868837	6.37545E+18	271.0303037	-0.382564106	0.417736322	21.65110397	23.75023651	4	5.6	15.54	14.618	14.293	14.047		12.52	12.084	11.988	2.099132538	9.567103973	7.358103973	0.532	0.096
-1016868836	6.37545E+18	271.1417623	-0.384985106	0.4243505	21.94029808	99											-100	-100	-100	-100	-100
-1016868834	6.37545E+18	271.353545	-0.379205344	0.416419744	19.60844421	99	2.6	-7.4	14.665	13.851	13.605	13.254		11.994	11.635	11.557	-100	7.973444214	6.003444214	0.437	0.078
