ra	dec	FUV-NUV	J-K	H-K	NUV-H	NUV-R
18.52181639	-4.468134414	2.121196747	0.291	0.044	5.765248505	4.482248505
18.57507926	-3.330605447	3.603467941	0.312	0.011	6.668498169	5.514498169
18.54859539	-3.70695969	0.598438263	0.671	0.063	5.841510559	-100
18.50604484	-3.454628016	0.893278122	0.554	0.07	9.592809555	7.826809555
18.40445162	-4.728325607	1.604232788	0.39	0.1	6.223791229	4.891791229
18.54516251	-3.350526492	4.115791321	0.404	0.068	7.758506531	6.405506531
18.47826837	-4.652344669	1.145273209	0.393	0.143	6.271491501	4.869491501
18.54160555	-3.923740929	-100	1.265	0.279	4.082476608	-100
18.39197241	-3.763427935	1.184791565	0.443	-0.032	6.964410034	5.454410034
18.31272522	-3.275557379	-100	0.299	0.027	5.292934052	4.203934052
18.58851399	-3.582602683	3.867767334	0.44	0.086	7.12796907	5.68696907
18.32820071	-4.724928699	-100	0.399	0.091	7.268964066	5.833964066
18.45454695	-4.1343945	4.224491119	0.301	-0.049	5.097974976	3.963974976
18.34566394	-2.564730077	-100	14.465	14.39	6.213193283	-100
18.64586086	-2.457815693	-100	0.384	-0.069	8.220971497	6.524971497
18.53435843	-4.040257533	4.873117447	0.428	0.082	6.839841949	5.516841949
18.43244865	-3.306909767	9.815050125	0.228	0.046	4.873073547	4.110073547
18.33470792	-3.315174552	2.789707184	0.695	0.274	7.256350037	-100
18.5187709	-3.245837559	-100	1.167	0.608	6.191380173	-100
18.38358836	-3.292558571	-1.059106827	1.364	1.296	6.06803006	-100
18.446236	-3.233379735	1.109823227	0.429	0.075	5.364847504	-100
18.33985979	-3.195913202	3.282833099	16.768	16.913	4.452459442	-100
18.49724062	-3.224248134	-100	1.269	0.689	6.90266687	-100
18.39565317	-3.300245283	1.71273613	0.457	0.058	7.949393448	6.633393448
18.54182425	-2.830699824	9.499011993	0.369	0.015	6.999089478	5.670089478
18.51366245	-2.756626033	1.220722198	0.662	0.166	8.138557053	6.530557053
18.48202929	-2.685121225	-100	0.52	0.089	8.410917206	6.666917206
18.51411482	-2.232870224	3.898208618	0.584	0.2	6.865012207	5.205012207
18.54144889	-2.658887945	1.883174896	0.568	0.066	8.907110672	7.139110672
18.32062164	-2.59343574	2.969718933	1.633	0.885	4.746063202	-100
18.32042241	-2.584398543	0.945638657	-0.272	-0.732	6.304917877	-100
18.59343674	-2.47956908	-100	1.646	0.687	5.66264061	-100
18.5028396	1.017256468	1.100278854	0.339	0.088	6.15669603	4.91569603
18.69682205	1.121404471	5.381757736	1.161	0.599	4.318406845	-100
18.51718603	1.349041222	0.56026268	0.348	-0.036	6.259378799	-100
18.45453431	-2.573739216	-100	0.406	0.008	6.217543289	4.866543289
18.62275086	-2.40213725	3.363016129	0.254	-0.09	5.253075073	3.965075073
18.46270034	-2.383552428	2.696439743	16.875	15.424	5.547818924	-100
18.55156035	-2.45978752	6.84500885	0.307	0.016	5.247601349	4.072601349
18.65650845	-2.372136259	5.672418594	0.366	0.065	6.978477448	5.704477448
18.48746438	1.007167914	2.219221115	1.351	0.615	5.390922897	-100
18.48381039	-2.450181401	-0.640007019	1.328	0.524	6.258287231	-100
18.67076549	1.154151801	-100	0.436	0.081	5.186284744	3.793284744
18.49283495	1.541850475	-100	1.341	0.551	5.164330856	-100
18.55555674	1.156827562	1.817359924	1.309	0.382	4.847768799	-100
18.5437063	1.497980952	5.523785591	0.567	0.1	8.588588127	-100
18.60297827	1.539083246	3.71323204	0.39	0.084	5.275114883	4.098114883
18.51922809	1.557749253	2.222557068	0.416	0.105	6.9915345	5.3515345
18.53664996	1.592648538	4.831790924	0.512	0.117	5.854731934	-100
18.54083986	-2.167824195	2.99895668	0.389	-0.121	6.970468155	-100
18.46540097	-1.694947934	7.577167511	0.358	0.119	6.133859131	4.987859131
18.67630078	-0.105661406	3.397939682	1.532	1.035	3.204812607	-100
18.66299135	-2.322165501	6.981912613	1.781	0.978	3.315064911	-100
18.63843651	1.212579663	2.684074402	0.676	0.095	10.79954674	8.690546738
18.44076557	1.310387989	3.900569916	0.482	0.153	8.198554413	6.708554413
18.58304678	1.37101669	4.181705475	0.522	0.094	8.780307419	7.222307419
18.64708643	1.393400703	5.867321014	0.381	0.086	6.528872894	5.239872894
18.6991046	1.474007917	1.718832016	0.63	0.009	5.565683609	-100
18.52455624	-1.669493256	-100	1.507	0.236	5.992265869	-100
18.57780988	-3.637026751	0.876815796	0.395	-0.11	6.85714859	-100
18.3326314	-3.743072346	8.519271851	0.319	0.058	5.928730225	4.879730225
18.56100498	-0.444209383	3.631622314	16.862	15.946	4.984526733	-100
18.33887174	-4.484664786	2.091133118	0.587	0.102	6.140514145	-100
18.5350565	-4.377682627	5.214389801	0.229	0.011	5.484907837	-100
18.53724637	-4.675569449	10.83908272	0.308	0.058	5.2464422	3.9354422
18.58078117	-4.612329781	-2.381074905	0.574	0.132	8.023645203	6.205645203
18.41133705	-4.148357628	2.738998413	0.361	-0.156	3.57126767	-100
18.52597769	-3.384447274	3.687820435	0.368	0.055	6.172334595	4.930334595
18.52932621	-4.969554342	1.644590378	1.25	0.382	5.188541336	-100
18.30351841	-4.40161323	-100	1.281	0.506	5.223494583	-100
18.5121579	-4.376263473	4.780462265	0.836	0.411	5.173158188	-100
18.53534133	-4.072345655	3.855081558	0.644	0.112	9.990855988	8.110855988
18.5440562	-3.654746253	7.665439606	0.393	0.098	6.249932404	5.150932404
18.45575706	-4.365960891	5.705610275	0.231	0.006	5.998162949	4.756162949
18.32040663	-4.302207175	-100	0.352	0.033	6.353608612	5.029608612
18.41875682	-4.286333841	2.112815857	0.494	0.003	7.828541595	6.021541595
18.41479204	-3.947401963	1.941074371	0.885	0.583	4.857179306	-100
18.31232533	-4.684222269	1.782461166	0.963	0.278	5.799303558	-100
18.41130157	-4.360001109	1.79372406	0.833	0.309	5.674432495	-100
18.54191436	-4.941442265	2.735651016	0.284	-0.017	5.209670944	-100
18.42330664	-4.752830671	5.705253601	0.397	0.063	6.991382507	5.565382507
18.54151894	-4.357694439	4.071046829	0.586	0.099	9.02686879	7.24886879
18.33979964	-3.92319425	0.842956543	0.641	0.138	9.951285202	8.055285202
18.33139479	-3.70311327	5.544818878	0.432	0.094	5.947052124	4.654052124
18.57718373	-3.309476285	-100	0.72	0.13	12.13020381	9.532203812
18.57359027	-3.774452679	-100	0.502	0.122	6.953115051	5.507115051
18.50840577	-3.617169766	1.61605835	1.849	1.251	4.378468979	-100
18.38071155	-4.563572313	-100	0.995	0.158	5.447358246	-100
18.51539351	-4.421397318	5.459674835	0.432	0.171	4.421860733	-100
18.55503306	-3.466391573	0.184686661	0.399	0.08	5.421824173	4.207824173
18.43649118	-4.32137983	1.782155991	0.413	-0.025	7.367375107	5.797375107
18.55136318	-4.291312118	3.86693573	0.389	0.089	7.270343811	5.911343811
18.58267972	-4.102710467	5.101144791	0.384	0.051	7.238494125	5.915494125
18.3597214	-4.003652339	3.966985703	1.201	0.919	3.810263885	-100
18.51172953	-3.515562372	-1.615058899	0.342	0.085	4.541564926	3.423564926
18.34247212	-4.757121231	0.615268707	0.511	0.152	8.161505753	6.444505753
18.39802624	-4.140233361	2.446315765	0.489	0.077	8.537858307	7.009858307
18.45896052	-1.786524268	1.53058815	0.634	0.25	6.265862778	-100
18.450728	-4.242107141	2.299669266	0.403	0.047	8.250607758	6.720607758
18.52276089	-4.204208441	2.25217247	0.513	-0.141	5.858069809	-100
18.42569309	-3.086593275	2.743612289	0.486	0.276	6.662277542	-100
18.61533726	-0.477314833	-100	0.33	-0.13	6.119037094	-100
18.48700453	-4.192589855	6.939846039	0.323	0.033	5.951359756	4.748359756
18.66610645	0.792567206	8.540159225	0.315	-0.002	5.628328766	4.427328766
18.61782855	0.749934091	1.459619522	0.483	0.052	9.421229187	7.720229187
18.58991784	-3.258599425	-100	1.381	0.456	5.876057297	-100
18.5714297	-3.410566766	3.503932953	0.378	0.053	7.407818405	6.155818405
18.58293018	-4.951049681	1.402427673	0.33	0.025	6.566512589	-100
18.36395591	-3.460816916	-100	0.311	0.038	5.368187973	4.238187973
18.47030462	-3.621271042	0.578128815	1.778	0.701	5.74046698	-100
18.46661625	-3.422577636	3.460483551	0.637	0.133	8.90534877	7.11934877
18.40811911	-4.562728867	-100	0.465	0.082	8.274390091	6.801390091
18.52679322	-4.48595433	3.299524307	0.418	0.033	7.003691025	5.529691025
18.5643983	-3.272280161	3.850057602	0.462	0.05	7.04857634	5.70157634
18.50154899	-3.577498108	5.110738754	0.308	0.075	5.127861206	4.118861206
18.44502186	-4.445190959	-100	0.386	0.002	5.973186981	4.667186981
