ra	dec	FUV-NUV	J-K	H-K	NUV-H	NUV-R
18.48569548	-3.545064155	1.914094925	0.494	0.091	7.049317535	5.578317535
18.51617938	1.065557762	2.147960663	16.821	16.064	5.421424042	-100
18.64454865	1.200450122	0.2461586	0.361	-0.006	6.130337753	4.827337753
18.56970667	1.212930822	0.425323486	0.568	0.234	6.447765991	5.076765991
18.56107734	1.378148999	-100	0.395	0.092	4.247397919	3.126397919
18.46301455	1.414019298	5.457462311	0.284	0.055	5.312536545	4.371536545
18.60295764	0.40813246	0.141345978	0.992	0.281	7.743493179	-100
18.70943854	-0.838200611	0.067306519	0.447	0.055	7.426030869	5.822030869
18.6295106	-0.836072392	4.62153244	0.677	0.086	10.52656451	8.428564514
18.56761545	-1.739459073	-100	0.441	0.062	8.324208572	6.844208572
18.46583171	-0.241923875	0.570114136	0.501	0.109	5.813003418	-100
18.61966927	-2.041603279	2.906826019	0.468	0.059	7.201003632	5.501003632
18.56580795	1.386778789	-100	0.308	-0.011	6.680049927	5.464049927
18.63774161	1.481955471	-100	0.492	0.1	8.025940018	6.575940018
18.69574088	-0.050167058	0.813257217	0.865	0.153	13.0668398	10.5628398
18.70165976	0.083077279	5.783649445	0.283	-0.14	6.493316193	5.056316193
18.59658109	-2.0393131	4.308525085	0.403	0.073	7.041562134	5.687562134
18.53152575	-4.822806535	-100	0.399	0.066	7.355662704	5.927662704
18.54416452	-0.452017875	2.208353043	1.26	0.502	6.205940903	-100
18.56439672	-0.367445087	-100	1.507	0.655	5.185356918	-100
18.58094623	-0.201284006	5.919736862	0.415	0.031	7.169049377	5.643049377
18.59573316	0.612352391	2.739233017	0.384	0.095	5.632985153	4.306985153
18.52441188	0.695369147	9.059396744	0.308	0.08	5.224296158	4.117296158
18.45596956	-3.931977155	-100	0.283	0.005	6.730852386	5.486852386
18.71279181	1.411381106	-100	16.739	17.909	3.430017868	-100
18.64892814	1.539426232	7.581392288	0.23	-0.117	5.821001404	-100
18.71953461	-1.059931874	2.465126038	0.454	0.153	6.444876404	5.080876404
18.49181824	-1.051367778	1.645107269	0.557	0.072	9.276574478	7.424574478
18.69737723	-0.927057698	1.21112442	0.582	0.055	6.057359253	-100
18.46930768	-1.865274949	9.430856705	0.344	0.065	5.252307159	4.057307159
18.38238955	-2.846608294	3.77148056	0.249	0.027	5.723082657	4.709082657
18.54291605	-2.629758519	6.068927765	0.464	0.077	7.512955124	6.061955124
18.44621987	-2.549417412	2.594715118	0.463	0.033	6.471457016	5.116457016
18.63386859	-0.781259429	-100	0.523	0.019	8.786819794	7.084819794
18.44934434	-0.641759579	-100	0.428	0.105	4.302983383	3.032983383
18.48564523	-0.559950665	-1.671880722	0.589	0.104	9.53618222	7.72918222
18.56454604	-1.934929142	2.229551315	0.583	0.169	4.479681366	-100
18.56388882	-1.867380978	-100	0.286	0.031	5.351910294	4.144910294
18.62971133	-0.95665607	1.589387894	0.226	-0.017	6.181453247	-100
18.56758743	-1.486569781	1.865528107	0.401	0.082	7.01606575	5.61106575
18.55925312	-0.901726188	-100	16.777	15.819	6.466774231	-100
18.54307082	-1.853926872	6.904756546	0.888	0.4	2.379538727	-100
18.69045222	-0.49334932	-100	0.364	-0.05	5.75222197	-100
18.64313086	-0.484239645	4.959526062	1.13	0.565	4.963382416	-100
18.53448171	-0.066935	5.359704971	0.337	0.035	6.187886612	4.880886612
18.36301978	-4.792890566	2.513765335	0.57	0.2	7.139558472	5.623558472
18.48014469	-1.995222529	1.657833099	0.549	0.124	7.416134338	5.907134338
18.47983502	-1.729151115	1.889247894	0.591	0.053	9.070458282	7.208458282
18.63042407	0.476306658	1.483211517	1.458	0.986	5.657838455	-100
18.57835595	0.481324875	5.907255173	0.366	0.058	5.133403473	3.874403473
18.67477948	-0.239583961	0.303010941	0.424	0.189	5.074167328	-100
18.47962412	-1.557280358	-100	0.353	0.134	7.476932297	6.194932297
18.56720213	-1.286663478	4.758817673	0.42	0.11	7.03310231	5.55510231
18.51962078	-0.992658216	5.279401779	0.393	0.041	7.106808014	5.694808014
18.49968693	0.799025503	3.162479401	1.329	0.536	5.646995529	-100
18.48306966	-3.848718417	5.162982941	0.339	0.042	4.410848022	3.338848022
18.56472907	-1.449477566	2.859106064	0.561	0.074	9.21475058	7.31175058
18.65672267	-0.502041664	2.070846558	16.883	15.398	5.547747375	-100
18.57903734	-0.314601374	4.537359238	0.549	0.226	6.401167221	5.056167221
18.67658542	-0.600781559	-100	0.323	0.034	5.409357666	4.145357666
18.57445703	0.106137882	-0.010375977	1.101	0.502	5.903037048	-100
18.44944985	-0.842423411	-100	1.349	0.403	5.964487442	-100
18.68979505	0.536490515	1.718456268	1.446	0.563	4.477911407	-100
18.62413533	0.674898094	-100	0.608	0.097	8.827513092	6.993513092
18.47838808	-1.178182866	2.328235626	0.353	0.042	6.380489502	4.992489502
18.51528411	-3.112882748	2.703496933	1.498	0.988	4.263600494	-100
18.52572806	-0.41609365	-0.680458069	1.585	0.649	5.184888046	-100
18.64918329	0.758464399	4.063358307	0.351	-0.063	6.379416092	4.960416092
18.65933062	0.817637208	1.605098724	16.878	15.896	7.314407257	-100
18.7093508	0.246248353	2.436441422	0.532	0.076	7.998888046	6.337888046
18.57144777	-0.921781686	4.000020981	1.542	0.712	2.51111911	-100
18.6925544	-1.103989255	2.111879349	0.289	0.088	5.546109436	4.278109436
18.48369648	-1.084119131	-0.674654007	0.55	0.063	9.959719055	8.143719055
18.50828816	-0.684642342	-0.570196152	1.458	0.699	5.692725098	-100
18.70299667	-0.537927577	2.146965027	0.43	-0.012	7.373070099	5.801070099
18.46603646	-0.610801414	-100	0.983	0.386	6.906167557	-100
18.66037334	-0.617396793	2.38130188	0.551	0.106	7.52725563	5.77425563
18.48245712	-3.055834922	-100	0.617	0.121	7.17971167	5.50371167
18.5311998	-3.032927568	1.758087158	1.227	0.505	6.044049591	-100
18.40198006	-2.761264203	0.394807816	0.593	0.069	9.508004959	7.569004959
18.58732786	-0.734335765	2.001916885	15.47	14.831	7.714413971	-100
18.45519455	-0.619211928	-100	0.331	0.034	6.416628723	5.143628723
18.37220233	-2.678071024	6.309898376	0.348	-0.026	6.334784271	-100
18.62924732	-2.483066831	1.936588287	0.465	0.095	7.926085724	6.365085724
18.54501018	-0.255131491	4.260030746	1.421	0.429	4.352681213	-100
18.50598024	-0.249703396	-100	0.515	0.197	6.209718735	4.905718735
18.68641168	-0.230079386	1.80137825	0.39	0.072	7.671068298	6.348068298
18.66444512	-0.071252486	-100	0.508	0.102	8.365001068	6.654001068
18.62417314	0.859101872	-1.025463104	0.876	0.692	6.994634659	-100
18.61825591	1.75033105	3.356895447	0.343	0.043	6.698074005	5.444074005
18.5617988	-2.179387381	-100	1.284	0.319	16.12389613	-100
18.534049	-2.159031614	4.471513748	0.372	0.059	6.880263626	5.527263626
18.58926547	-0.467938722	9.057258606	0.317	0.048	6.212274475	5.001274475
18.47409679	0.140270284	-100	0.391	0.101	6.072600418	4.797600418
18.6050284	0.258351818	-0.178186417	0.454	0.071	7.717101105	6.142101105
18.3429902	-4.145824086	0.666543961	0.438	0.071	7.657439224	6.359439224
18.36041951	-3.98771023	2.22646904	1.57	0.698	5.050460876	-100
18.58519289	0.928950593	-0.302946091	1.363	0.759	6.457379608	-100
18.57534256	0.972813414	-100	0.339	0.056	6.985281097	5.640281097
18.55502831	-0.908962112	1.910657883	1.575	0.719	4.323738754	-100
18.4617588	-0.916518323	5.260725021	0.4	0.094	4.241440598	3.059440598
18.65681505	-0.846056652	-100	1.369	0.575	6.303070236	-100
18.57722157	-0.820294941	8.480035782	-0.369	-0.333	-1.614713165	-1.234713165
18.51966521	-0.802558363	-100	1.435	0.479	6.190726379	-100
18.67689525	-0.779039089	2.060043335	0.403	0.08	6.881430817	5.549430817
18.5153476	-0.769396101	-100	1.362	0.482	6.775924438	-100
18.62822481	0.325289264	-0.025735855	0.817	0.37	6.019300171	-100
18.58712031	-0.680227872	5.372085571	1.999	1.117	1.863262329	-100
18.49671561	0.581187028	-100	1.79	1.216	4.104374176	-100
18.47853986	1.95569852	3.867801666	1.046	0.48	4.526623947	-100
18.56113524	-0.777368989	0.516994476	1.563	0.725	6.731451004	-100
18.62433876	-0.685045497	1.328090668	1.495	0.86	5.237289337	-100
18.50031317	-0.506311184	-100	0.643	0.263	5.491767471	3.896767471
18.53537137	-0.460185064	-100	0.399	0.081	6.745612839	5.386612839
18.62585278	0.52972602	-100	0.861	0.213	7.501178085	-100
18.57225973	-0.692301372	-1.439876556	0.51	0.147	9.006998276	7.284998276
18.6488343	0.976415948	-100	0.395	0.013	7.357488739	5.873488739
18.54160317	-1.216048663	-2.940084457	1.412	0.352	7.020626297	-100
18.51510074	-0.633778351	5.536823273	0.418	0.167	6.209273712	-100
18.53285237	0.847035568	3.050699234	1.044	0.335	4.266124405	-100
18.61076112	-0.190296934	2.463764191	0.704	0.222	5.166560455	-100
18.65458846	0.256199724	-100	0.469	0.088	7.560663773	5.993663773
18.50930472	-0.592261513	-100	0.841	0.538	4.658501892	-100
18.4577758	0.199230463	5.422502518	0.454	0.088	7.362354813	5.961354813
18.65408955	0.337249795	1.192199707	1.193	0.32	5.835818771	-100
18.54190725	0.356598694	-100	0.35	0.075	6.571665344	5.352665344
18.55014607	0.40634253	3.388233185	0.4	0.076	6.161910431	4.827910431
18.5291837	0.434795148	4.963502884	0.367	0.078	6.313941132	5.034941132
18.67899672	1.009731886	3.63035965	1.176	0.767	3.733137421	-100
18.71411481	1.00169968	-100	0.165	-0.201	5.698992905	4.300992905
18.48113939	-2.91916185	6.512641907	0.329	0.097	5.984806854	4.844806854
18.54564782	-2.92638058	5.576921463	0.614	0.073	9.443851547	7.428851547
18.63053227	-0.122397901	4.05421257	0.38	0.104	7.211208176	5.874208176
18.49453667	-0.114406577	2.637453079	1.394	0.559	5.227080444	-100
18.48734944	-1.569054095	0.521526337	0.283	0.131	4.271594971	-100
18.46343291	-1.543176661	5.87575531	1.215	0.463	7.193232101	-100
18.48181158	-1.524218804	-0.885725021	0.735	0.109	6.96368367	-100
18.62054559	-0.611142636	-100	0.359	0.098	5.065735153	3.895735153
18.50633605	-0.575370839	-100	0.395	-0.28	5.957844223	-100
18.56200403	-0.911987516	0.269138336	1.217	0.578	7.331796432	-100
18.67682324	-1.471425422	-100	0.302	0.045	5.721184265	4.484184265
18.65472974	-1.38482832	0.593004227	1.227	0.406	6.253477905	-100
18.579252	-1.362309221	1.961280823	0.427	0.003	6.497827942	-100
18.48122993	-1.167960819	-100	1.458	1.059	5.439990585	-100
18.53193857	0.189590294	-100	0.257	-0.107	6.547915756	5.068915756
18.66630375	0.410317402	8.605556488	0.285	0.063	4.903147827	3.831147827
18.62255523	0.452724183	2.123687744	0.362	0.053	6.722960632	5.352960632
18.49698349	0.560913607	5.110044479	0.333	0.103	5.839114731	4.678114731
18.60103467	0.398269318	-0.105682373	0.984	0.677	6.378518555	-100
18.62448745	0.434431796	1.976825714	0.469	0.062	7.59120784	6.04120784
18.70359561	0.630458475	-100	0.641	0.078	7.204281372	-100
18.47922099	-0.029764995	-100	0.346	-0.011	6.165802933	4.846802933
18.69545233	0.52433029	-1.876636505	0.804	0.245	8.600555786	6.323555786
18.63953127	0.526308059	5.174367905	0.314	-0.007	6.723353256	5.374353256
18.57842365	0.586713975	-100	0.538	0.151	8.25224733	6.68724733
18.61668837	-1.065594221	5.848993301	0.394	0.052	6.371459732	4.958459732
18.65278841	-0.950241664	4.023117065	0.453	0.125	6.731455719	5.357455719
18.6814799	0.562587372	-100	0.444	-0.014	4.656186279	-100
18.56342526	-2.446600404	-100	0.402	0.068	5.646471054	4.368471054
18.62795275	-2.200652214	1.941776276	0.371	0.063	6.55848465	5.14148465
18.48183126	1.095422196	2.72580719	1.081	0.58	5.327298248	-100
18.61169785	1.127963455	2.059576035	0.387	-0.029	5.115206406	-100
18.45697078	-2.734128133	4.057924271	0.345	-0.005	7.123940308	5.800940308
18.68734638	-2.427500564	3.538398743	0.425	0.069	6.958884613	5.472884613
18.54455583	0.668159529	4.459142685	0.743	0.081	11.79656212	9.416562119
18.65614426	0.711466559	3.958217621	0.41	0.108	7.863901581	6.422901581
18.46029123	0.534345178	-2.419527054	0.323	-0.005	6.422972565	4.975972565
18.68159845	-0.219819175	2.854715347	0.416	0.03	7.730033554	6.286033554
18.5216348	0.665302341	3.226724625	0.406	0.561	3.95989653	-100
18.50018077	0.844502542	-100	0.397	0.098	5.786941284	4.421941284
18.70983384	1.003706784	-100	1.28	0.544	5.545979889	-100
18.61589577	-0.057277035	-100	0.487	0.046	5.833659271	4.245659271
18.56687344	-1.133077308	1.953029633	0.321	0.082	6.918934296	5.470934296
18.64041793	1.038525713	0.237537384	16.17	16.485	4.986741684	-100
18.52351089	1.136297257	-0.844697952	0.477	-0.029	6.169786667	-100
18.46050873	-1.15034652	-100	0.355	0.061	6.03815062	4.67115062
18.49359665	1.315640403	3.131443024	0.415	0.037	7.73317485	6.14817485
18.48936506	1.679832756	3.119924545	0.34	0.078	6.791376953	5.454376953
18.65021944	-0.058152417	0.031187057	0.51	0.149	7.503735504	6.078735504
18.54950339	0.649580937	-100	1.077	0.238	14.80893555	11.02893555
18.59041553	0.689643834	-100	0.928	0.364	5.612658752	-100
18.62655424	0.072699094	0.600852966	1.751	0.941	5.403377121	-100
18.56246115	-0.828271368	-100	0.321	0.069	4.511406799	3.433406799
18.66920939	-2.285474381	0.846588135	16.345	16.819	3.958138077	-100
18.44755111	0.975809526	3.857982635	0.324	0.101	5.769754059	4.613754059
18.48085363	1.402768312	0.757701874	1.044	0.577	5.38172464	-100
18.64826902	1.697598513	-100	16.857	15.514	4.311233459	-100
18.66621103	-0.733038418	-100	0.373	0.046	6.134039581	4.749039581
18.63830228	0.021270778	1.388505936	0.444	0.228	5.961213562	-100
18.5729445	0.070108254	0.927871704	1.305	0.668	5.946628967	-100
18.53227641	-1.983149173	-0.13854599	0.369	0.027	7.510681992	6.084681992
18.49183262	-1.837445057	-100	0.54	0.08	9.051628815	7.212628815
18.49922353	-0.169402843	3.067052841	0.418	-0.073	5.617131424	-100
18.60412787	-1.249365167	-100	1.069	0.219	4.905711227	-100
18.59541818	-1.141528984	1.365571976	16.95	16.928	5.651740524	-100
18.52527859	-1.098064913	1.014621735	0.52	0.177	7.39798703	5.88598703
18.55074228	-2.190341346	-100	12.521	12.519	6.462300354	5.296300354
18.69216347	-0.094518963	3.485376358	1.773	1.347	4.016278625	-100
18.58954621	-3.485060716	-100	0.314	0.042	5.531114197	4.455114197
18.40341323	-3.849887651	3.696352005	0.448	0.067	7.695594406	6.250594406
18.59701044	-1.442797804	1.180793762	0.63	0.108	10.78144629	8.725446289
18.62646618	-0.592316716	-100	0.446	0.088	6.878477676	5.353477676
18.56511286	-0.472147842	4.276651382	0.379	0.06	6.954818512	5.642818512
18.46922296	-0.525317037	2.235197067	0.438	0.121	6.819500839	5.312500839
18.69284141	-0.000683693	4.973949432	1.159	0.375	6.573738861	5.159738861
18.61688093	-0.848675546	2.169277191	1.082	0.286	4.34186496	-100
18.60867029	-1.797318009	0.324205399	0.503	0.112	6.863863037	5.169863037
18.44234528	-0.361000783	1.353187561	0.571	0.114	9.217340164	7.476340164
18.58666525	-3.471235828	0.229185104	0.267	-0.03	5.600913086	4.396913086
18.55705412	-4.887491123	0.980014801	0.383	0.025	6.85035968	5.39635968
18.47314895	1.378413584	5.744762421	0.302	0.053	6.270393661	5.156393661
18.64087252	1.605786834	1.26159668	1.092	0.496	3.91349321	-100
18.49256819	-2.157249348	-100	2.479	1.548	3.309469681	-100
18.51713319	-1.741946058	6.317749023	1.125	0.315	2.700177094	-100
18.50619856	-3.477252041	4.453077316	0.389	0.031	6.02094606	4.75794606
18.53153995	-0.736029088	0.13417244	1.245	0.494	5.475920105	-100
18.65491219	-1.498805624	-1.005115509	0.538	0.207	6.999031631	-100
18.62157412	-1.428241445	-100	0.559	0.078	8.323338165	6.632338165
18.70677694	-1.408645933	-100	0.608	0.097	9.350678772	7.479678772
18.48998012	-1.356428593	-100	0.772	0.142	10.5009402	7.985940201
18.53215155	-1.286654778	1.337352753	0.48	0.053	9.01402182	7.30202182
18.44206934	-1.072789483	2.424762726	1.506	0.673	5.905530197	-100
18.57022175	-0.950332736	4.439367294	0.446	0.145	7.52561705	6.06861705
18.5864953	-0.898673497	-100	0.536	0.07	9.397875259	7.555875259
18.5900705	0.179643753	-100	1.011	0.397	7.563268723	-100
18.62133478	0.400777346	3.110338211	0.41	0.082	5.594192825	4.323192825
18.48502224	-1.162089832	0.608097076	0.453	0.107	8.360522629	-100
18.58574301	-1.201910328	-100	1.051	0.589	5.649742661	-100
18.53624202	-1.186245413	3.453626633	0.617	0.146	10.15029152	8.236291519
18.57563496	-0.485552872	-100	0.323	0.102	6.419916275	5.250916275
18.44016951	-0.509087387	3.914756775	0.497	0.083	9.236238037	7.577238037
18.71793022	-0.047306726	0.955791473	0.439	0.107	7.830909668	6.639909668
18.61124792	-1.233463043	-1.746183395	0.662	0.222	6.811677765	-100
18.5292524	-0.937151379	2.636352539	0.602	0.126	9.116380554	7.271380554
18.61975571	-0.808810777	2.236135483	1.525	0.743	7.329454376	-100
18.4604025	-0.548105482	1.656833649	0.439	0.084	6.809897873	5.478897873
18.45000657	0.799768755	-100	1.315	0.698	4.832130173	-100
18.57660008	0.988351107	-100	0.532	0.206	7.278351532	5.829351532
18.52355692	-0.946350614	1.974479675	1.158	0.416	4.719902451	-100
18.58543547	-0.704853352	1.069396973	1.39	0.64	5.550047791	-100
18.58219996	-1.01235189	0.372613907	0.449	0.11	8.951501251	7.249501251
18.52991389	-0.912363321	-1.039115906	1.469	0.736	6.922034378	-100
18.65493859	-0.93057923	1.355613708	0.478	0.153	7.683385025	6.176385025
18.44637498	-0.889953646	-100	0.304	0.063	5.608898712	4.428898712
18.7059661	0.005176401	3.37497139	0.655	0.356	5.688196457	4.487196457
18.67952596	-0.810183023	0.749761581	16.954	15.892	5.031873901	-100
18.50967475	-0.7969028	-100	1.512	0.769	3.257212784	-100
18.71268423	-0.726186942	5.489213943	0.402	0.065	6.736842758	5.262842758
18.45194137	0.18891364	2.938323975	1.163	0.45	4.800436188	-100
18.44284625	0.305847167	4.084323883	15.569	13.35	5.282266998	-100
18.44284625	0.305847167	4.084323883	1.114	0.341	4.854266998	-100
18.54879367	0.318284839	1.908443451	0.444	0.069	6.355031967	5.045031967
18.45585509	-0.727181335	1.170066833	1.245	0.5	8.081012024	-100
18.48689663	-0.865109971	1.900068283	0.337	0.083	7.117973907	5.799973907
18.49094443	-0.711018546	-100	0.405	-0.097	4.072510895	-100
18.54205505	0.201990377	-100	0.973	0.315	7.333206085	-100
18.44523645	0.202179489	3.909832001	1.041	0.342	7.951569794	-100
18.64865745	0.050273073	-100	0.442	0.081	6.978328491	5.536328491
18.49808471	-0.546828425	-100	1.204	0.825	3.975544052	-100
18.64501223	0.039222885	4.424470901	0.411	0.096	7.200213654	5.786213654
18.48583515	-0.563648788	1.820823669	0.258	-0.196	4.939883484	-100
18.33937416	-2.974218672	1.696062088	0.328	0.075	6.471099457	5.191099457
18.51967458	-2.949629573	2.001491547	0.369	0.046	5.628775986	4.292775986
18.32311219	-2.921401762	1.896121979	0.207	-0.064	5.426946045	-100
18.63566585	-0.124741867	-100	0.385	-0.017	6.715981201	-100
18.69440929	0.346345209	-100	0.213	0.16	4.049616745	3.277616745
18.48495038	0.389610365	-1.225215912	1.346	0.381	7.155555923	-100
18.68273452	0.286153749	4.4467659	0.771	0.229	3.994335464	-100
18.51374134	0.556310605	0.93057251	0.548	-0.029	7.410017242	5.553017242
18.63419447	0.532282685	1.477495193	1.013	0.393	7.819495605	-100
18.50771912	0.54454097	0.190168381	0.503	0.07	8.104638168	6.493638168
18.60584349	0.27846579	-100	0.463	0.062	5.854861053	4.477861053
18.51317827	-0.230809087	-100	1.368	0.626	5.097848648	-100
18.68024037	-0.124671816	2.951272964	1.422	1.028	2.73930513	-100
18.64171186	0.957729996	8.913261414	0.383	0.072	5.982853577	4.794853577
18.55584833	-0.28407279	3.025352478	1.13	0.404	3.33443924	-100
18.66115418	-0.2003672	-100	0.406	0.103	6.56255925	5.20655925
18.69427221	-0.604694825	-100	0.711	0.116	10.84698849	8.689988495
18.71156558	-1.315369207	5.218357086	0.331	-0.021	5.982047531	4.684047531
18.46257025	-0.661704053	0.900888443	0.56	0.147	7.72335437	-100
18.3427948	-3.376659674	1.668838501	0.324	0.034	6.362716919	5.156716919
18.71700029	-1.156673449	4.625553131	0.342	0.064	6.411143402	5.129143402
18.54192591	-1.036159462	2.473299026	0.505	0.131	8.558290573	7.038290573
18.60228576	0.446427852	4.458387375	0.304	0.027	4.860917007	3.553917007
18.66236553	0.543054444	-100	0.441	0.048	8.075996429	6.459996429
18.63469305	0.466594047	2.038265228	0.445	-0.21	5.205225433	-100
18.65033144	0.523211077	-100	1.393	0.707	5.87621431	-100
18.44457945	0.475365239	-100	0.312	0.138	-1.931819283	-1.573819283
18.70863335	0.000570877	4.57758522	16.965	15.654	4.643546387	-100
18.63976536	0.050111145	-100	0.465	0.079	8.091614777	6.537614777
18.67098747	0.070568913	-100	0.657	0.104	9.104571259	7.032571259
18.68137895	0.089913723	-100	0.913	0.325	5.400049011	-100
18.57251973	-0.883892111	4.478910446	0.543	0.103	9.158236526	7.300236526
18.64159195	-0.795711439	-0.47700882	1.194	0.158	5.931214355	-100
18.69518367	0.705844926	3.041284561	0.42	0.073	7.775481094	6.359481094
18.6560038	0.105752602	-100	0.724	0.135	11.5227894	9.330789398
18.46379288	0.181817511	2.166175842	0.883	0.55	6.056297607	-100
18.48819781	0.371698817	1.692699432	0.942	0.433	5.971822647	-100
18.48122358	0.41224639	2.522796631	0.977	0.607	3.031480225	-100
18.66645039	0.468640608	3.23944664	1.132	0.644	3.711944656	-100
18.48768886	0.826254866	5.218156815	0.651	0.119	11.6194398	9.505439804
18.46532695	0.583997309	-100	0.457	0.141	7.933179031	6.498179031
18.61025202	0.830734022	-100	0.626	0.105	7.525850693	-100
18.71319218	0.550910527	-100	0.773	-0.156	6.738510666	-100
18.49877645	0.64210271	-100	0.303	0.129	5.843871277	-100
18.31930875	-2.941513259	1.891746521	0.434	0.133	8.142708832	6.758708832
18.53221201	-0.397423815	5.786617279	0.36	0.064	6.608580688	5.378580688
18.71033235	-0.218520149	7.437492371	0.3	0.068	5.952064163	4.421064163
18.60002908	-0.211683572	2.879943848	0.442	0.107	6.018226318	-100
18.62297498	0.47008519	1.908445358	1.086	0.479	7.372619812	-100
18.57332182	0.978575444	-100	0.461	0.04	7.183980667	5.746980667
18.54072207	-0.01660169	1.137590408	16.718	15.057	5.533762405	-100
18.44789188	-0.004913083	5.858837128	0.365	0.045	5.667774658	4.397774658
18.50319927	0.15705439	-100	0.052	-0.268	6.900370331	-100
18.637413	0.233314279	4.131374359	0.879	0.241	7.165135437	-100
18.69633461	0.551092312	3.684242249	0.564	0.028	8.313116409	6.542116409
18.6898839	0.577467447	-100	1.402	0.71	6.205843658	-100
18.6086543	0.56675932	5.404608727	0.449	0.064	5.018610756	3.516610756
18.45384775	0.237143671	4.624465942	0.393	0.116	6.851709473	5.459709473
18.67418931	0.13923279	1.001235962	16.691	16.385	5.712677231	-100
18.61351224	0.742073901	3.672897339	0.657	0.22	4.718498215	-100
18.57120627	0.351877964	1.268344879	0.54	0.082	6.458201614	4.836201614
18.46315776	0.371422059	0.213102341	0.056	-0.101	7.237938065	-100
18.58844817	1.004848736	3.330989838	0.521	0.066	8.270178329	6.613178329
18.69828325	1.037338687	2.006563187	0.558	0.13	7.180905548	-100
18.52174921	-0.040201417	6.898441315	0.388	0.061	7.329158569	5.956158569
18.62356231	0.516589616	6.408462524	1.285	0.667	4.689227295	-100
18.6072638	0.536635954	5.929880142	1.196	0.627	1.974481812	-100
18.50899969	0.386195474	0.719226837	0.729	0.079	11.61052357	9.253523575
18.58079821	0.36228726	1.297851563	0.349	0.121	5.520229568	4.253229568
18.65560503	-0.157198612	8.04044342	0.382	0.103	6.657199631	5.464199631
18.52834951	-0.001087786	8.558225632	0.417	0.059	6.915580826	5.505580826
18.52739547	0.62970959	6.306442261	0.357	0.085	5.278924515	4.128924515
18.54661711	-0.400464037	7.081003189	0.446	0.069	7.599731979	6.091731979
18.47034138	0.917260489	3.164539337	0.39	0.083	6.025931259	4.713931259
18.48757587	1.951672108	2.567314148	0.409	0.054	6.247562195	4.836562195
18.59309702	0.717805231	-100	0.422	0.072	6.730799423	5.346799423
18.56858699	0.993160623	6.0423069	1.053	0.272	4.239537552	-100
18.49406391	-0.198595281	3.350553513	0.386	0.061	6.884375443	5.484375443
18.44133547	-0.116467563	3.881639481	0.402	-0.012	6.35291539	4.90391539
18.42755059	-2.934492621	3.995542526	0.396	0.079	7.211728592	5.900728592
18.48651885	0.420473624	3.012441635	0.43	0.065	6.964500641	5.540500641
18.68030028	0.41985935	6.271020889	0.487	0.106	7.787980087	6.249980087
18.52742033	0.743258023	-100	0.859	0.205	7.041053711	-100
18.32877865	-4.921680927	-100	0.601	0.16	7.994962006	6.249962006
18.67141285	-1.340747362	1.348518372	16.629	15.38	6.522037048	-100
18.47764388	0.055107405	0.802024841	0.762	0.091	5.92280423	-100
18.45429309	-0.896113028	4.382461548	0.416	0.121	7.429856888	6.040856888
18.5784229	0.370855393	3.172908783	1.285	0.365	6.109937225	-100
18.584098	0.556190349	5.64282608	0.27	-0.007	6.440426666	5.196426666
18.45515957	0.89280532	4.007907867	0.337	0.048	5.792888382	4.521888382
18.54892228	-2.961844102	1.322685242	17.042	15.655	5.564129089	-100
